Date,AAPL US EQUITY,BABA US EQUITY,DIS US EQUITY,LULU US EQUITY,PSX US EQUITY,SPGI US EQUITY,LMT US EQUITY,TXN US EQUITY,V US EQUITY,MCD US EQUITY,SPX INDEX
07/07/2016,23.985,79.35,98.41,75.2,74.27,107.31,249.77,61.77,74.51,120.92,2097.9
07/08/2016,24.17,78.99,99.62,76.72,74.85,108.87,251.9,63.27,76.42,121.31,2129.9
07/11/2016,24.245,81.46,99.98,76.49,75.21,110.26,254.39,63.4,76.52,122,2137.16
07/12/2016,24.355,81.74,100.2,76.62,76.4,112.98,254.7,64.38,77.48,122.25,2152.14
07/13/2016,24.218,80.57,99.88,76.81,76.25,113.86,255.9,64.54,77.46,122.82,2152.43
07/14/2016,24.698,81.74,99.97,77.42,76.61,115.2,256,64.81,78.14,123.93,2163.75
07/15/2016,24.695,81.25,99.8,77.8,75.66,115.64,256.98,64.85,78.3,123.61,2161.74
07/18/2016,24.958,82.65,100.15,77.75,75.65,116.86,256.29,65.19,78.31,123.8,2166.89
07/19/2016,24.968,82.77,99.47,77.3,75.74,116.58,258.96,64.94,78.72,126.5,2163.78
07/20/2016,24.99,84.42,98.22,77.17,75.34,117.11,256.67,65.45,79.36,126.06,2173.02
07/21/2016,24.858,84.18,98.01,76.55,75.12,116.83,254.14,64.91,78.79,127.18,2165.17
07/22/2016,24.665,84.49,97.71,76.14,75.39,117.31,257.31,65.49,79.91,128.26,2175.03
07/25/2016,24.335,83.19,97.39,77.58,74.47,117.16,255.62,66.22,78.94,127.4,2168.48
07/26/2016,24.168,83.59,96.69,77.18,76.23,117.55,254.76,71.42,78.49,121.71,2169.18
07/27/2016,25.738,83.1,96.33,76.82,75.4,117.42,254.16,71.27,78.53,119.48,2166.58
07/28/2016,26.085,83.12,95.91,77.38,76.25,121.4,254.55,70.23,79.19,119.42,2170.06
07/29/2016,26.053,82.48,95.95,77.65,76.06,122.2,252.73,69.75,78.05,117.65,2173.6
08/01/2016,26.513,84.34,95.54,78.33,74.26,121.22,254.84,69.88,78.26,118.01,2170.84
08/02/2016,26.12,83.8,95.01,76.95,76.15,120.11,257,68.85,78.28,117.7,2157.03
